Time,Heart Rate
00:00:00,74
00:00:05,76
00:00:10,75
00:00:15,75
00:00:20,76
00:00:25,75
00:00:30,74
00:00:35,73
00:00:40,71
00:00:45,69
00:00:50,70
00:01:05,71
00:01:10,73
00:01:25,72
00:01:35,74
00:01:40,76
00:01:50,75
00:02:00,76
00:02:05,73
00:02:10,70
00:02:20,71
00:02:25,71
00:02:30,70
00:02:40,71
00:02:45,72
00:02:50,73
00:03:05,74
00:03:10,73
00:03:25,73
00:03:35,72
00:03:40,73
00:03:55,72
00:04:00,71
00:04:15,72
00:04:20,71
00:04:35,72
00:04:50,72
00:04:55,73
00:05:00,75
00:05:05,76
00:05:10,73
00:05:15,71
00:05:20,72
00:05:25,73
00:05:35,74
00:05:50,74
00:06:00,73
00:06:05,72
00:06:10,71
00:06:15,67
00:06:20,66
00:06:30,67
00:06:45,67
00:06:55,69
00:07:05,70
00:07:20,70
00:07:35,70
00:07:36,70
00:07:51,70
00:08:01,70
00:08:11,71
00:08:16,72
00:08:21,75
00:08:31,76
00:08:46,76
00:08:51,75
00:09:06,76
00:09:21,76
00:09:31,75
00:09:46,75
00:10:01,73
00:10:06,72
00:10:21,72
00:10:36,72
00:10:41,73
00:10:56,73
00:11:01,76
00:11:16,76
00:11:21,77
00:11:36,77
00:11:51,77
00:12:01,76
00:12:06,75
00:12:11,76
00:12:21,77
00:12:26,80
00:12:36,79
00:12:41,76
00:12:46,75
00:13:01,75
00:13:06,76
00:13:21,76
00:13:26,74
00:13:41,73
00:13:51,74
00:14:01,75
00:14:16,75
00:14:21,76
00:14:26,78
00:14:31,79
00:14:36,78
00:14:41,79
00:14:46,78
00:14:56,79
00:15:01,80
00:15:16,80
00:15:26,79
00:15:31,77
00:15:36,73
00:15:41,72
00:15:56,72
00:16:01,71
00:16:06,72
00:16:11,73
00:16:21,72
00:16:26,71
00:16:36,72
00:16:51,73
00:17:01,74
00:17:11,72
00:17:21,73
00:17:36,72
00:17:51,72
00:18:06,72
00:18:11,73
00:18:16,74
00:18:31,74
00:18:41,75
00:18:56,75
00:19:06,76
00:19:11,72
00:19:16,71
00:19:21,71
00:19:36,71
00:19:41,72
00:19:56,71
00:20:06,72
00:20:11,73
00:20:16,74
00:20:31,74
00:20:46,75
00:20:56,74
00:21:01,73
00:21:06,72
00:21:21,73
00:21:31,74
00:21:46,74
00:21:51,73
00:22:01,74
00:22:11,73
00:22:16,71
00:22:26,72
00:22:41,73
00:22:46,75
00:22:51,75
00:22:56,76
00:23:11,76
00:23:26,77
00:23:31,79
00:23:46,79
00:23:51,77
00:23:56,77
00:24:11,77
00:24:16,76
00:24:21,73
00:24:26,72
00:24:41,72
00:24:56,72
00:25:01,73
00:25:16,73
00:25:26,73
00:25:31,74
00:25:36,75
00:25:41,76
00:25:56,75
00:26:06,74
00:26:11,73
00:26:16,73
00:26:21,74
00:26:31,75
00:26:46,76
00:27:01,76
00:27:11,75
00:27:16,74
00:27:21,72
00:27:31,72
00:27:36,73
00:27:41,74
00:27:46,75
00:27:51,76
00:27:56,77
00:28:11,77
00:28:21,76
00:28:36,74
00:28:41,73
00:28:46,72
00:28:56,71
00:29:01,70
00:29:11,71
00:29:26,71
00:29:41,71
00:29:46,72
00:29:51,73
00:30:06,72
00:30:16,74
00:30:21,75
00:30:26,71
00:30:31,71
00:30:46,71
00:31:01,71
00:31:16,71
00:31:31,71
00:31:36,70
00:31:51,69
00:31:56,67
00:32:01,70
00:32:06,71
00:32:16,72
00:32:31,72
00:32:36,74
00:32:51,74
00:33:06,75
00:33:21,75
00:33:26,76
00:33:36,77
00:33:41,78
00:33:46,79
00:33:51,80
00:34:06,80
00:34:16,81
00:34:31,81
00:34:41,80
00:34:46,73
00:34:51,72
00:35:06,73
00:35:16,74
00:35:31,74
00:35:36,76
00:35:41,75
00:35:51,76
00:35:56,75
00:36:06,76
00:36:11,75
00:36:26,74
00:36:31,75
00:36:36,76
00:36:46,75
00:36:56,76
00:37:01,77
00:37:11,78
00:37:16,76
00:37:21,74
00:37:26,73
00:37:41,73
00:37:51,72
00:37:56,73
00:38:11,74
00:38:26,75
00:38:41,76
00:38:46,75
00:38:56,76
00:39:11,75
00:39:21,76
00:39:36,75
00:39:46,76
00:40:01,76
00:40:06,75
00:40:21,74
00:40:26,75
00:40:31,74
00:40:46,74
00:40:56,75
00:41:01,77
00:41:06,80
00:41:11,82
00:41:16,81
00:41:21,80
00:41:26,81
00:41:31,82
00:41:36,83
00:41:41,84
00:41:46,82
00:41:51,81
00:41:56,79
00:42:11,79
00:42:26,76
00:42:31,77
00:42:36,76
00:42:46,77
00:43:01,76
00:43:16,74
00:43:21,72
00:43:31,71
00:43:46,72
00:43:51,74
00:44:06,74
00:44:11,74
00:44:16,75
00:44:31,75
00:44:46,74
00:45:01,74
00:45:11,73
00:45:16,68
00:45:21,67
00:45:36,67
00:45:41,68
00:45:56,68
00:46:01,69
00:46:06,70
00:46:11,71
00:46:16,72
00:46:21,74
00:46:26,75
00:46:31,77
00:46:36,78
00:46:46,79
00:47:01,80
00:47:11,79
00:47:16,78
00:47:21,77
00:47:31,76
00:47:36,75
00:47:41,74
00:47:46,74
00:47:56,73
00:48:11,73
00:48:16,74
00:48:31,75
00:48:36,76
00:48:46,77
00:48:56,78
00:49:11,77
00:49:26,77
00:49:36,75
00:49:46,74
00:50:01,74
00:50:16,74
00:50:31,71
00:50:36,69
00:50:51,69
00:50:56,68
00:51:01,65
00:51:16,65
00:51:31,65
00:51:41,70
00:51:46,73
00:51:51,74
00:52:06,73
00:52:11,72
00:52:26,73
00:52:31,73
00:52:36,75
