dateTime,rate,rateZone
27.08.2020 11:05:07,76,40%
27.08.2020 11:05:01,75,39%
27.08.2020 11:04:58,75,39%
27.08.2020 11:04:18,85,44%
27.08.2020 11:03:18,79,41%
27.08.2020 11:02:18,74,38%
27.08.2020 11:01:12,85,44%
27.08.2020 11:00:13,80,42%
27.08.2020 10:59:32,72,37%
27.08.2020 10:59:07,76,40%
27.08.2020 10:58:12,79,41%
27.08.2020 10:57:13,78,41%
27.08.2020 10:56:18,85,44%
27.08.2020 10:55:18,76,40%
27.08.2020 10:54:12,78,41%
27.08.2020 10:53:18,75,39%
27.08.2020 10:52:18,76,40%
27.08.2020 10:51:13,78,41%
27.08.2020 10:50:14,85,44%
27.08.2020 10:49:11,78,41%
27.08.2020 10:48:18,75,39%
27.08.2020 10:47:18,75,39%
27.08.2020 10:46:18,72,37%
27.08.2020 10:45:18,91,47%
27.08.2020 10:44:18,72,37%
27.08.2020 10:43:18,76,40%
27.08.2020 10:42:18,81,42%
27.08.2020 10:41:18,49,25%
27.08.2020 10:40:18,75,39%
27.08.2020 10:39:18,92,48%
27.08.2020 10:38:19,85,44%
27.08.2020 10:37:18,93,48%
27.08.2020 10:36:13,79,41%
27.08.2020 10:35:18,77,40%
27.08.2020 10:34:13,78,41%
27.08.2020 10:33:16,75,39%
27.08.2020 10:32:18,85,44%
27.08.2020 10:31:18,76,40%
27.08.2020 10:30:18,93,48%
27.08.2020 10:29:16,78,41%
27.08.2020 10:28:18,81,42%
27.08.2020 10:27:13,78,41%
27.08.2020 10:26:15,94,49%
27.08.2020 10:25:12,79,41%
27.08.2020 10:24:15,78,41%
27.08.2020 10:23:14,91,47%
27.08.2020 10:22:18,94,49%
27.08.2020 10:21:14,78,41%
27.08.2020 10:20:12,79,41%
27.08.2020 10:19:17,85,44%
27.08.2020 10:18:13,79,41%
27.08.2020 10:17:12,79,41%
27.08.2020 10:16:16,86,45%
27.08.2020 10:14:18,94,49%
27.08.2020 10:13:32,80,42%
27.08.2020 10:13:04,86,45%
27.08.2020 10:12:16,79,41%
27.08.2020 10:11:18,79,41%
27.08.2020 10:10:20,78,41%
27.08.2020 10:09:18,78,41%
27.08.2020 10:08:16,77,40%
27.08.2020 10:07:19,81,42%
27.08.2020 10:06:18,94,49%
27.08.2020 10:05:18,85,44%
27.08.2020 10:04:18,70,36%
27.08.2020 10:03:14,79,41%
