Time,Heart Rate
00:00:01,76
00:00:06,75
00:00:21,75
00:00:36,75
00:00:41,75
00:00:46,75
00:00:56,75
00:01:11,75
00:01:26,75
00:01:41,75
00:01:56,76
00:02:01,77
00:02:16,77
00:02:21,78
00:02:26,76
00:02:31,75
00:02:36,75
00:02:51,77
00:02:56,80
00:03:06,78
00:03:11,79
00:03:21,76
00:03:26,77
00:03:36,78
00:03:41,78
00:03:46,79
00:04:01,79
00:04:16,78
00:04:31,78
00:04:36,79
00:04:41,78
00:04:46,77
00:04:51,76
00:05:01,77
00:05:06,76
00:05:16,77
00:05:26,78
00:05:31,79
00:05:41,76
00:05:46,75
00:05:51,77
00:05:56,78
00:06:06,77
00:06:11,76
00:06:16,77
00:06:26,76
00:06:36,75
00:06:51,76
00:06:56,78
00:07:01,80
00:07:16,80
00:07:21,80
00:07:26,81
00:07:31,79
00:07:36,78
00:07:46,79
00:07:51,78
00:07:56,74
00:08:11,74
00:08:16,75
00:08:31,75
00:08:41,76
00:08:46,77
00:08:51,78
00:08:56,79
00:09:06,78
00:09:21,76
00:09:26,75
00:09:31,76
00:09:36,77
00:09:51,77
00:09:56,79
00:10:01,80
00:10:06,79
00:10:11,77
00:10:16,78
00:10:21,79
00:10:26,78
00:10:31,78
00:10:36,79
00:10:46,77
00:10:51,76
00:11:01,75
00:11:16,74
00:11:31,74
00:11:41,73
00:11:46,75
00:11:51,76
00:11:56,77
00:12:01,78
00:12:06,75
00:12:21,77
00:12:26,79
00:12:41,79
00:12:56,79
00:13:01,80
00:13:06,82
00:13:11,83
00:13:26,83
00:13:31,84
00:13:36,83
00:13:41,80
00:13:56,80
00:14:01,78
00:14:06,77
00:14:11,77
00:14:16,78
00:14:21,81
00:14:26,82
00:14:31,80
00:14:46,81
00:14:51,82
00:15:01,81
00:15:16,82
00:15:31,81
00:15:41,80
00:15:46,79
00:15:56,79
00:16:01,69
00:16:06,70
00:16:16,69
00:16:21,68
00:16:26,67
00:16:31,67
00:16:36,68
00:16:46,69
00:16:56,70
00:17:01,76
00:17:16,76
00:17:26,75
00:17:31,73
00:17:38,72
00:17:53,74
00:18:08,75
00:18:23,75
00:18:33,74
00:18:48,75
00:18:58,76
00:19:03,78
00:19:18,78
00:19:28,76
00:19:33,75
00:19:43,76
00:19:48,77
00:19:53,78
00:20:03,77
00:20:13,76
00:20:28,76
00:20:33,75
00:20:38,74
00:20:48,75
00:20:58,74
00:21:08,73
00:21:13,75
00:21:18,75
00:21:23,76
00:21:28,78
00:21:43,79
00:21:48,78
00:21:58,77
00:22:03,82
00:22:08,81
00:22:18,80
00:22:28,82
00:22:43,81
00:22:48,79
00:22:53,78
00:22:58,79
00:23:03,80
00:23:18,78
00:23:23,77
00:23:28,78
00:23:33,79
00:23:38,83
00:23:53,83
00:24:03,82
00:24:08,81
00:24:13,79
00:24:28,79
00:24:33,78
00:24:48,78
00:24:53,77
00:25:03,78
00:25:08,79
00:25:13,80
00:25:18,81
00:25:23,80
00:25:28,78
00:25:43,78
00:25:58,80
00:26:03,81
00:26:13,79
00:26:18,85
00:26:23,91
00:26:28,92
00:26:43,91
00:26:48,92
00:26:53,94
00:27:08,94
00:27:18,93
00:27:33,93
00:27:43,92
00:27:58,92
00:28:03,93
00:28:08,94
00:28:18,94
00:28:23,94
00:28:38,94
00:28:43,93
00:28:58,93
00:29:13,93
00:29:18,95
00:29:23,95
00:29:28,96
00:29:38,95
00:29:43,98
00:29:53,97
00:29:58,98
00:30:03,96
00:30:13,95
00:30:18,94
00:30:23,96
00:30:38,95
00:30:43,93
00:30:48,91
00:30:53,92
00:30:58,93
00:31:03,94
00:31:08,96
00:31:13,98
00:31:18,102
00:31:33,101
00:31:43,100
00:31:48,105
00:31:53,104
00:31:58,101
00:32:03,103
00:32:08,107
00:32:13,106
00:32:18,104
00:32:23,100
00:32:28,96
00:32:33,97
00:32:38,94
00:32:43,90
00:32:48,85
00:32:53,82
00:32:58,80
00:33:03,77
00:33:08,79
00:33:13,79
00:33:18,84
00:33:23,87
00:33:28,89
00:33:33,91
00:33:38,94
00:33:43,91
00:33:48,87
00:33:53,87
00:34:03,85
00:34:08,82
00:34:13,81
00:34:23,78
00:34:33,77
00:34:38,78
00:34:43,77
00:34:48,72
00:34:53,69
00:34:58,71
00:35:03,73
00:35:08,75
00:35:13,77
00:35:18,80
00:35:28,81
00:35:38,83
00:35:43,85
00:35:48,86
00:35:53,84
00:35:58,79
00:36:03,74
00:36:13,75
00:36:18,76
00:36:28,76
00:36:43,75
00:36:58,75
00:37:03,73
00:37:08,72
00:37:23,72
00:37:38,72
00:37:43,71
00:37:48,70
00:37:53,68
00:38:03,69
00:38:08,68
00:38:13,67
00:38:23,66
00:38:28,65
