dateTime,rate,rateZone
25.08.2020 11:31:33,75,39%
25.08.2020 11:31:28,74,38%
25.08.2020 11:31:22,72,37%
25.08.2020 11:31:15,70,36%
25.08.2020 11:31:07,73,38%
25.08.2020 11:30:56,79,41%
25.08.2020 11:30:50,79,41%
25.08.2020 11:30:41,78,41%
25.08.2020 11:30:36,81,42%
25.08.2020 11:30:30,79,41%
25.08.2020 11:30:24,77,40%
25.08.2020 11:30:21,77,40%
25.08.2020 11:30:12,77,40%
25.08.2020 11:30:06,77,40%
25.08.2020 11:29:59,74,38%
25.08.2020 11:29:51,74,38%
25.08.2020 11:29:45,75,39%
25.08.2020 11:29:36,76,40%
25.08.2020 11:29:32,76,40%
25.08.2020 11:29:26,78,41%
25.08.2020 11:29:21,77,40%
25.08.2020 11:29:17,76,40%
25.08.2020 11:29:11,74,38%
25.08.2020 11:29:06,73,38%
25.08.2020 11:29:05,75,39%
25.08.2020 11:28:56,74,38%
25.08.2020 11:28:51,77,40%
25.08.2020 11:28:44,78,41%
25.08.2020 11:28:36,79,41%
25.08.2020 11:28:34,79,41%
25.08.2020 11:28:28,80,42%
25.08.2020 11:28:15,79,41%
25.08.2020 11:28:06,78,41%
25.08.2020 11:28:02,78,41%
25.08.2020 11:27:56,83,43%
25.08.2020 11:27:51,88,46%
25.08.2020 11:27:47,87,45%
25.08.2020 11:27:41,83,43%
25.08.2020 11:27:36,85,44%
25.08.2020 11:27:34,88,46%
25.08.2020 11:27:26,88,46%
25.08.2020 11:27:21,87,45%
25.08.2020 11:27:17,85,44%
25.08.2020 11:27:11,82,43%
25.08.2020 11:27:06,80,42%
25.08.2020 11:26:57,81,42%
25.08.2020 11:26:51,79,41%
25.08.2020 11:26:49,76,40%
25.08.2020 11:26:41,77,40%
25.08.2020 11:26:36,79,41%
25.08.2020 11:26:32,82,43%
25.08.2020 11:26:26,79,41%
25.08.2020 11:26:21,79,41%
25.08.2020 11:26:19,77,40%
25.08.2020 11:26:12,77,40%
25.08.2020 11:26:06,76,40%
25.08.2020 11:26:05,74,38%
25.08.2020 11:25:59,73,38%
25.08.2020 11:25:51,73,38%
25.08.2020 11:25:47,77,40%
25.08.2020 11:25:41,81,42%
25.08.2020 11:25:36,79,41%
25.08.2020 11:25:34,80,42%
25.08.2020 11:25:27,81,42%
25.08.2020 11:25:21,82,43%
25.08.2020 11:25:18,83,43%
25.08.2020 11:25:12,81,42%
25.08.2020 11:25:06,79,41%
25.08.2020 11:24:56,75,39%
25.08.2020 11:24:51,76,40%
25.08.2020 11:24:47,80,42%
25.08.2020 11:24:41,83,43%
25.08.2020 11:24:36,89,46%
25.08.2020 11:24:32,88,46%
25.08.2020 11:24:26,87,45%
25.08.2020 11:24:21,79,41%
25.08.2020 11:24:13,80,42%
25.08.2020 11:24:06,79,41%
25.08.2020 11:24:04,76,40%
25.08.2020 11:23:56,75,39%
25.08.2020 11:23:51,77,40%
25.08.2020 11:23:50,76,40%
25.08.2020 11:23:42,75,39%
25.08.2020 11:23:36,75,39%
25.08.2020 11:23:31,75,39%
25.08.2020 11:23:26,78,41%
25.08.2020 11:23:21,79,41%
25.08.2020 11:23:13,80,42%
25.08.2020 11:23:06,80,42%
25.08.2020 11:23:02,79,41%
25.08.2020 11:22:56,75,39%
25.08.2020 11:22:51,77,40%
25.08.2020 11:22:48,77,40%
25.08.2020 11:22:42,76,40%
25.08.2020 11:22:36,77,40%
25.08.2020 11:22:32,79,41%
25.08.2020 11:22:24,78,41%
